Code,Country,Population_ages_15_64_of_total,Population_ages_65_and_above_of_total
ALB,Albania,69.0574620108062,12.3963338706153
ARM,Armenia,70.7901217876325,10.8259833940416
AUT,Austria,67.0332301646914,18.7591300503032
AZE,Azerbaijan,72.4553638068118,5.62608981288436
BLR,Belarus,69.9508710458679,13.9809217228707
BEL,Belgium,64.8307418795963,18.2248164293518
BIH,Bosnia and Herzegovina,71.0579632250127,15.4439567753232
BGR,Bulgaria,65.8285064995643,20.0274777416446
CHI,Channel Islands,68.022872223444,17.2684065195611
HRV,Croatia,66.1722696675744,18.9370747517226
CYP,Cyprus,70.6035355702394,12.8454475242427
CZE,Czech Republic,66.8821170374875,18.075987656862
DNK,Denmark,64.1595524918413,18.9594398104384
EST,Estonia,65.1524732621339,18.7597043330657
FIN,Finland,63.1844856787288,20.4771837047151
FRA,France,62.3959557946308,19.1205109623995
GEO,Georgia,68.6468764031909,14.0256592059827
DEU,Germany,65.8735239308132,21.2406519413629
GRC,Greece,64.001114781101,21.396558181815
HUN,Hungary,67.6233936744744,17.8178985477761
ISL,Iceland,65.9664567048645,13.7138954238446
IRL,Ireland,65.079935543936,13.1395030143128
ITA,Italy,63.8797421672762,22.4098759007142
KAZ,Kazakhstan,66.5468630019269,6.73573774316427
XKX,Kosovo,67.5956284153006,6.77595628415301
KGZ,Kyrgyz Republic,64.3715060803419,4.22684522224216
LVA,Latvia,65.7100750417533,19.3677959383975
LTU,Lithuania,66.637321711156,18.8477993888977
LUX,Luxembourg,69.5849129798452,13.981414540389
MDA,Moldova,74.3086639941979,9.95793208822932
MNE,Montenegro,67.7000420274825,13.6450291715472
NLD,Netherlands,65.2462589355619,18.2304693863117
NOR,Norway,65.6985354157875,16.3329186310334
POL,Poland,69.5203957630148,15.5333238336452
PRT,Portugal,65.1552111668212,20.7914682047571
ROU,Romania,67.1654214752418,17.3139967333842
RUS,Russian Federation,69.8822387917186,13.3658426985027
SRB,Serbia,66.6173161713822,17.0823666319247
SVK,Slovak Republic,71.0312889656187,13.8450659736415
SVN,Slovenia,67.2471833486012,17.9683834689382
ESP,Spain,66.3288553181877,18.7894661035796
SWE,Sweden,62.7731014069742,19.9420190919181
CHE,Switzerland,67.1827980001116,18.0418460178465
TJK,Tajikistan,62.1561674893051,3.00628812918872
TUR,Turkey,66.790794681757,7.53869755140193
TKM,Turkmenistan,67.6209109068909,4.15507428861104
UKR,Ukraine,69.7661921081373,15.3061908119499
GBR,United Kingdom,64.4654096116544,17.7603695294859
UZB,Uzbekistan,66.8223460574423,4.6577368288371
MKD,Macedonia,70.7240914276147,12.3228189427425
