,state,population,id
0,Alabama,4863300,1
1,Alaska,741894,2
2,Arizona,6931071,4
3,Arkansas,2988248,5
4,California,39250017,6
5,Colorado,5540545,8
6,Connecticut,3576452,9
7,Delaware,952065,10
8,District of Columbia,681170,11
9,Florida,20612439,12
10,Georgia,10310371,13
11,Hawaii,1428557,15
12,Idaho,1683140,16
13,Illinois,12801539,17
14,Indiana,6633053,18
15,Iowa,3134693,19
16,Kansas,2907289,20
17,Kentucky,4436974,21
18,Louisiana,4681666,22
19,Maine,1331479,23
20,Maryland,6016447,24
21,Massachusetts,6811779,25
22,Michigan,9928300,26
23,Minnesota,5519952,27
24,Mississippi,2988726,28
25,Missouri,6093000,29
26,Montana,1042520,30
27,Nebraska,1907116,31
28,Nevada,2940058,32
29,New Hampshire,1334795,33
30,New Jersey,8944469,34
31,New Mexico,2081015,35
32,New York,19745289,36
33,North Carolina,10146788,37
34,North Dakota,757952,38
35,Ohio,11614373,39
36,Oklahoma,3923561,40
37,Oregon,4093465,41
38,Pennsylvania,12784227,42
39,Rhode Island,1056426,44
40,South Carolina,4961119,45
41,South Dakota,865454,46
42,Tennessee,6651194,47
43,Texas,27862596,48
44,Utah,3051217,49
45,Vermont,624594,50
46,Virginia,8411808,51
47,Washington,7288000,53
48,West Virginia,1831102,54
49,Wisconsin,5778708,55
50,Wyoming,585501,56
51,Puerto Rico,3411307,72
