,state,swe,id_x,id_y
0,Alabama,0.003421545041432772,1,1
1,Alaska,0.001590523713630249,2,2
2,Arizona,0.004774153951099332,4,4
3,Arkansas,0.0024395565562162175,5,5
4,California,0.007125856786253112,6,6
5,Colorado,0.008087652027011782,8,8
6,Connecticut,0.005896905648391199,9,9
7,Delaware,0.004989155152221749,10,10
8,District of Columbia,0.011759179059559288,11,11
9,Florida,0.003299949122954348,12,12
10,Georgia,0.004939686457451434,13,13
11,Hawaii,0.001624016402565666,15,15
12,Idaho,0.0029706382119134476,16,16
13,Illinois,0.0044783677962469985,17,17
14,Indiana,0.0027242357327764456,18,18
15,Iowa,0.003716472394585371,19,19
16,Kansas,0.0038111106257410253,20,20
17,Kentucky,0.0020892617355882637,21,21
18,Louisiana,0.0011769314598692004,22,22
19,Maine,0.002290685771236347,23,23
20,Maryland,0.006291088411482724,24,24
21,Massachusetts,0.010230807546751004,25,25
22,Michigan,0.0038767966318503672,26,26
23,Minnesota,0.006193894439661794,27,27
24,Mississippi,0.000933508123528219,28,28
25,Missouri,0.00441326111931725,29,29
26,Montana,0.0021390476921306066,30,30
27,Nebraska,0.005621052940670625,31,31
28,Nevada,0.0020373747728786302,32,32
29,New Hampshire,0.0063305601234646515,33,33
30,New Jersey,0.007724326620171639,34,34
31,New Mexico,0.0018836961771058834,35,35
32,New York,0.004941431852428192,36,36
33,North Carolina,0.004226953396483695,37,37
34,North Dakota,0.0034039094823946634,38,38
35,Ohio,0.004095787176802398,39,39
36,Oklahoma,0.0022861884905064555,40,40
37,Oregon,0.005457479177176304,41,41
38,Pennsylvania,0.004237252670810679,42,42
39,Rhode Island,0.004581485120585824,44,44
40,South Carolina,0.00208420721212291,45,45
41,South Dakota,0.0030850859779953644,46,46
42,Tennessee,0.002375513328885009,47,47
43,Texas,0.004320128677169924,48,48
44,Utah,0.006440053263992695,49,49
45,Vermont,0.0046430161032606785,50,50
46,Virginia,0.008595060657589903,51,51
47,Washington,0.010710757409440176,53,53
48,West Virginia,0.0012833801721586237,54,54
49,Wisconsin,0.004821146872276641,55,55
50,Wyoming,0.001007684017619099,56,56
51,Puerto Rico,0.0007738969257237769,72,72
