,state,category 1,category 2,category 3,category 4,category 5,all,major (3-5),id
0,Texas,23,17,12,7,0,59,19,48
1,Louisiana,17,14,13,4,1,49,18,22
2,Mississippi,2,5,7,0,1,15,8,28
3,Alabama,11,5,6,0,0,22,6,1
4,Florida,43,32,27,6,2,110,35,12
5,Georgia,12,5,2,1,0,20,3,13
6,South Carolina,19,6,4,2,0,31,6,45
7,North Carolina,21,13,11,1,0,46,12,37
8,Virginia,9,2,1,0,0,12,1,51
9,Maryland,1,1,0,0,0,2,0,24
10,Delaware,2,0,0,0,0,2,0,10
11,New Jersey,2,0,0,0,0,2,0,34
12,Pennsylvania,1,0,0,0,0,1,0,42
13,New York,6,1,5,0,0,12,5,36
14,Connecticut,4,3,3,0,0,10,3,9
15,Rhode Island,3,2,4,0,0,9,4,44
16,Massachusetts,5,2,3,0,0,10,3,25
17,New Hampshire,1,1,0,0,0,2,0,33
18,Maine,5,1,0,0,0,6,0,23
